stop_id,stop_name,stop_code
1100001,Łask ul. Kolejowa (dworzec PKP),
1100002,Łask Pl. 11 Listopada,
1100003,Łask Narutowicza ŁDK,
1100004,Łask Narutowicza 32,
1100005,Łask Narutowicza/Słoneczna,
1100007,Gorczyn,
1100009,Mauryca Wiadukt,
1100010,Czestków A,
1100011,Czestków B,
1100012,Czestków F Kapliczka,
1100013,Czestków F,
1100014,Wola Buczkowska,
1100015,Wygwizdów,
1100016,Buczek Kościół,
1100017,Buczek Dino,
1100018,Bachorzyn 3C,
1100019,Bachorzyn II 23,
1100020,Bachorzyn Stacja Paliw,
1100021,Zelów Zachodnia/Herbertów,
1100023,Zelów Kościuszki/Pileckiego,
1100024,Zelów Kościuszki/Sikorskiego,
1100025,Zelów Plac Dąbrowskiego,
1100026,Zelów MGOPS,
1100027,Zelów Piotrkowska ORLEN,
1100028,Zelów Piotrkowska ORLEN,
1100029,Zelów MGOPS,
1100030,Zelów Plac Dąbrowskiego,
1100031,Zelów Kościuszki/Sikorskiego,
1100032,Zelów Kościuszki/Pileckiego,
1100034,Zelów Zachodnia/Herbertów,
1100035,Bachorzyn Stacja Paliw,
1100036,Bachorzyn II 23,
1100037,Bachorzyn 3C,
1100038,Buczek Dino,
1100039,Buczek Kościół,
1100040,Wygwizdów,
1100041,Wola Buczkowska,
1100042,Czestków F,
1100043,Czestków F Kapliczka,
1100044,Czestków B,
1100045,Czestków A,
1100046,Mauryca Wiadukt,
1100047,Gorczyn 78,
1100048,Gorczyn,
1100049,Gorczyn 65,
1100050,Łask Narutowicza/Słoneczna,
1100051,Łask Narutowicza ŁDK,
1100052,Łask Pl. 11 Listopada,
1100053,Szczerców Mickiewicza,
1100054,Zagadki,
1100055,Magdalenów,
1100056,Lubiec Szkoła,
1100057,Lubiec,
1100058,Podlesie,
1100059,Wypychów,
1100060,Krześlów,
1100061,Sobki I,
1100062,Sobki II,
1100063,Sobki Sklep,
1100064,Pukawica,
1100065,Sromutka,
1100066,Grębociny I,
1100067,Grębociny II,
1100068,Łobudzice I,
1100069,Łobudzice Szkoła,
1100070,Łobudzice II ,
1100071,Łobudzice III,
1100072,Łask Żeromskiego,
1100073,Łask Żeromskiego,
1100074,Łobudzice III,
1100075,Łobudzice II,
1100076,Łobudzice I,
1100077,Grębociny II,
1100078,Grębociny I,
1100079,Sromutka,
1100080,Pukawica,
1100081,Sobki Sklep,
1100082,Sobki II,
1100083,Sobki I,
1100084,Krześlów,
1100085,Wypychów,
1100086,Podlesie,
1100087,Lubiec,
1100088,Lubiec Szkoła,
1100089,Magdalenów,
1100090,Zagadki,
1100091,Szczerców Pl.Św.Floriana,
1100092,Gorczyn 65,
1100093,Gorczyn 78,
1200001,Wola Rakowa Główna,
1200002,Wola Rakowa Cmentarz,WORAKC2
1200003,Wola Rakowa Południowa,
1200004,Wola Rakowa Nowiny,
1200005,Pałczew Kapliczka,
1200006,Wardzyn,
1200007,Brójce,
1200008,Kurowice Pabianicka,
1200009,Kurowice Centrum,
1200010,Kurowice Juny,
1200011,Bukowiec Zielonogórska,
1200017,Rokicińska - Mleczarnia (Kraszew),3579
1200018,Rokicińska - Azaliowa,3577
1200019,Brzezińska - Rokicińska (Andrespol),3374
1200020,Brzezińska - Sienkiewicza (Bedoń Przykościelny),3375
1200021,Ogrodowa - Brzezińska (Bedoń Przykościelny),3378
1200022,Ogrodowa - Magdalenki (Bedoń Przykościelny),3379
1200023,Bedoń Kościelna / Kościół,3381
1200024,Ogrodowa - Magdalenki (Bedoń Przykościelny),3380
1200025,Ogrodowa - Brzezińska (Bedoń Przykościelny),3377
1200026,Brzezińska - Sienkiewicza (Bedoń Przykościelny),3376
1200027,Rokicińska - Prosta,3573
1200028,Rokicińska - Azaliowa,3576
1200029,Kraszew Rokicińska/Ekologiczna,
1200035,Bukowiec Rokicińska/Górna,
1200036,Bukowiec Zielonogórska,
1200037,Kurowice Juny,
1200038,Kurowice Pabianicka,
1200039,Brójce,
1200040,Wardzyn,
1200041,Pałczew Kapliczka,
1200042,Wola Rakowa Nowiny,
1200043,Wola Rakowa Południowa,
1200044,Wola Rakowa Cmentarz,WORAKC1
1200045,Wardzyn Sosnowa Aleja,
1200046,Wardzyn OSP,
1200047,Bukowiec Rokicińska/Górna,
1200048,Bukowiec Rokicińska/Chryzantem,
1200049,Bukowiec Rokicińska/Chryzantem,
1200050,Wardzyn Sosnowa Aleja,
1200051,Wardzyn OSP,
1300001,Głowackiego (Brzeziny),3243
1300002,Woj. Polskiego (Brzeziny),3405
1300003,Traugutta (Brzeziny),3406
1300004,Brzeziny Muzeum Regionalne,
1300005,Brzeziny Małczewska 28,
1300006,Brzeziny Małczewska/Leśna,
1300007,Małczew 8,
1300008,Małczew Świetlica,
1300009,Małczew Kapliczka,
1300010,Adamów,
1300011,Jordanów OSP,
1300012,Jordanów 43,
1300013,Jordanów Ignaców,
1300014,Bedoń Brzezińska/Słowiańska,
1300015,Brzezińska - Sienkiewicza (Bedoń Przykościelny),3376
1300016,Andrespol Centrum Handlowe,
1300017,Brzezińska - Sienkiewicza (Bedoń Przykościelny),3375
1300018,Bedoń Brzezińska/Słowiańska,
1300019,Jordanów Ignaców,
1300020,Jordanów 43,
1300021,Jordanów OSP,
1300022,Adamów,
1300023,Małczew Kapliczka,
1300024,Małczew Świetlica,
1300025,Małczew 8,
1300026,Brzeziny Małczewska/Leśna,
1300027,Brzeziny Małczewska 28,
1300028,Brzeziny Fredry,
1300029,Brzeziny św. Anny,
1300030,Brzeziny Sienkiewicza,
1300031,Wiśniowa Góra - Szkoła,3388
1300032,Wiśniowa Góra - Piekarnicza,3390
1300033,Wiśniowa Góra - Jednostka Wojskowa,3392
1300034,Wiśniowa Góra - Akacjowa,3387
1300035,Stróża - Kolumny,3448
1300036,Stróża - Gajowa,3428
1300037,Stróża - Ludwików,3430
1300038,Wola Rakowa Brzezińska/Krańcowa,
1300039,Wola Rakowa Cmentarz,WORAKC2
1300040,Wola Rakowa Szkoła,
1300041,Wola Rakowa Cmentarz,WORAKC1
1300042,Wola Rakowa Brzezińska/Krańcowa,
1300043,Stróża - Ludwików,3430
1300044,Stróża - Gajowa,3429
1300045,Tuszyńska - Kolumny,3396
1300046,Wiśniowa Góra - Akacjowa,3394
1300047,Wiśniowa Góra - Jednostka Wojskowa,3393
1300048,Wiśniowa Góra - Piekarnicza,3391
1300049,Wiśniowa Góra - Szkoła,3389
1300050,Brzezińska - Rokicińska (Andrespol),3374
1300051,Andrespol - Urząd Gminy,3386
1500001,Budziszewice Kościół,
1500002,Budziszewice,
1500003,Regny Jednostka Wojskowa,
1500004,Regny Kaplica,
1500005,Regny Leśniczówka,
1500006,Redzeń Stary,
1500007,Redzeń Nowy,
1500008,Słotwiny PKP,
1500009,Koluszki Partyzantów,
1500010,Koluszki 11 Listopada,
1500011,Koluszki Dworzec PKP,
1500012,Koluszki Brzezińska/Żeromskiego,
1500013,Koluszki Brzezińska Rondo,
1500014,Żakowice Piotrkowska 40,
1500015,Żakowice Piotrkowska,
1500017,Będzelin Szkolna,
1500020,Żakowice Piotrkowska,
1500021,Żakowice Piotrkowska 40,
1500022,Koluszki Brzezińska Rondo,
1500023,Koluszki Brzezińska/Żeromskiego,
1500024,Koluszki Dworzec PKP,
1500025,Koluszki 11 Listopada,
1500026,Koluszki Partyzantów,
1500027,Słotwiny PKP,
1500028,Redzeń Nowy,
1500029,Redzeń Stary,
1500030,Regny Leśniczówka,
1500031,Regny Kaplica,
1500032,Regny Jednostka Wojskowa,
1500033,Będzelin Szkoła,
1500034,Będzelin OSP,
1500035,Będzelin Szkoła,
1500036,Będzelin Szkolna,
1600001,Parzęczew / Kościół,
1600002,Piaskowice Stacja Paliw,
1600003,Wytrzyszczki 5,
1600004,Wytrzyszczki 20,
1600005,Ozorków Konstytucji Makowa,
1600006,Ozorków Zachodnia,
1600007,Ozorków Sikorskiego,
1600009,Ozorków Bema,
1600011,Ozorków Konstytucji 3 Maja 37,
1600012,Ozorków Konstytucji 3 Maja / Nowe Miasto,
1600014,Ozorków Starzyńskiego,
1600017,Ozorków Wigury,
1600018,Ozorków Stypułkowskiego,
1600019,Ozorków Łęczycka,
1600022,Ozorków Łęczycka,
1600023,Ozorków Stypułkowskiego,
1600024,Ozorków Wigury,
1600027,Ozorków Starzyńskiego,
1600029,Ozorków Konstytucji 3 Maja / Nowe Miasto,
1600030,Ozorków Konstytucji 3 Maja 37,
1600032,Ozorków Bema,
1600034,Ozorków Sikorskiego,
1600035,Ozorków Zachodnia,
1600036,Ozorków Konstytucji Makowa,
1600037,Wytrzyszczki 20,
1600038,Wytrzyszczki 5,
1600039,Piaskowice Stacja Paliw,
1600041,Ozorków Konstytucji 3 Maja / PKP,
1600042,Ozorków Kolejowa  Dw. PKP Ozorków,
1600043,Ozorków Konstytucji 3 Maja / PKP,
1600044,Leźnica Wielka (Osiedle),
1600045,Leźnica Wielka,
1600046,Różyce 2,
1600047,Różyce 29,
1600048,Różyce,
1600049,Chrząstówek,
1600050,Chrząstów Wielki,
1600051,Parzęczew / Kościół,
1600052,Chrząstów Wielki,
1600053,Chrząstówek,
1600054,Różyce,
1600055,Różyce 17,
1600056,Różyce Żmijowe,
1600057,Dalików Kościół,
1600058,Dalików Cmentarz,
1600059,Dalików Wchodnia 68,
1600060,Gajówka - Parcel,
1600061,Gajówka,
1600062,Bardzynin,
1600063,Huta Bardzyńska,
1600064,Symonia,
1600069,Symonia,
1600070,Huta Bardzyńska,
1600071,Bardzynin,
1600072,Gajówka,
1600073,Gajówka - Parcel,
1600074,Dalików Wchodnia 68,
1600075,Dalików Cmentarz,
1600076,Lubocha I,
1600077,Lubocha II,
1600078,Brudnów,
1600079,Psary,
1600080,Budzynek,
1600081,Parzęczew Szkoła,
1600083,Parzęczew Szkoła,
1600085,Budzynek,
1600086,Psary,
1600087,Brudnów,
1600088,Lubocha II,
1600089,Lubocha I,
1700001,Rokiciny Dworzec PKP,ROKPKP1
1700002,Rokiciny Rondo,ROKROND1
1700003,Łaznów pos. 160,LAZ1601
1700004,Łaznów OSP,LAZOSP1
1700005,Łaznów pos. 22,
1700006,Zacharz Północna,
1700007,Będków Kościół,
1700008,Zacharz Południowa,
1700009,Zacharz Północna,
1700010,Łaznów pos. 22,
1700011,Łaznów OSP,LAZOSP2
1700012,Łaznów pos. 160,LAZ1602
1700013,Rokiciny Rondo,ROKROND2
1700014,Rokiciny Rondo,
1700015,Janków,
1700016,Maksymilianów,
1700017,Wilkucice Duże,
1700018,Wilkucice Małe,
1700019,Albertów,
1700020,Rokiciny pos. 73,
1700021,Rokiciny Rondo,
1700022,Rokiciny pos. 73,
1700023,Albertów,
1700024,Wilkucice Małe,
1700025,Wilkucice Duże,
1700026,Maksymilianów,
1700027,Janków,
1700028,Janków Skrzyżowanie,
1800001,Rawa Maz. Dworzec Autobusowy,
1800002,Ścieki,
1800003,Soszyce,
1800004,Złota I,
1800005,Złota II,
1800006,Głuchów Pl. Kościuszki,
1800007,Głuchów Starowiejska,
1800008,Białynin Podbór,
1800009,Białynin,
1800010,Jeżów Rawska,
1800011,Jeżów Piotrkowska,
1800012,Strzelna,
1800013,Marianów Roqowski II,
1800014,Rogów Strażacka,
1800015,Rogów Dworzec PKP,
1800016,Rogów Strażacka,
1800017,Marianów Roqowski II,
1800018,Marianów Roqowski I,
1800019,Strzelna,
1800020,Jeżów Piotrkowska,
1800021,Jeżów Rawska,
1800022,Białynin,
1800023,Białynin Podbór,
1800024,Głuchów Starowiejska,
1800025,Głuchów Pl. Kościuszki,
1800026,Złota II,
1800027,Złota I,
1800028,Soszyce,
1800029,Ścieki,
1800030,Marianów Roqowski I,
1900001,Działoszyn Plac Wolności,
1900002,Działoszyn Piłsudskiego/Starzyńskiego,
1900003,Działoszyn Piłsudskiego/CPN,
1900004,Posmykowizna,
1900005,Trębaczew Wyzwolenia/Kolejowa,
1900006,Trębaczew Kościół,
1900007,Trębaczew Park,
1900008,Dylów Rządowy,
1900009,Pajęczno Wieluńska,
1900010,Pajęczno Centrum,
1900011,Pajęczno 1 Maja,
1900012,Wręczyca,
1900013,Biała PKP,
1900014,Wręczyca,
1900015,Pajęczno 1 Maja,
1900016,Pajęczno Centrum,
1900017,Pajęczno Wieluńska,
1900018,Dylów Rządowy,
1900019,Trębaczew Park,
1900020,Trębaczew Kościół,
1900021,Trębaczew Wyzwolenia/Kolejowa,
1900022,Posmykowizna,
1900023,Działoszyn Piłsudskiego/CPN,
1900024,Działoszyn Urząd Gminy,
1900025,Biała PKP,
1900026,Biała pos. 9,
1900027,Biała pos. 2C,
1900028,Biała pos. 179,
1900029,Gawłów Dolna,
1900030,Suchowola Skrzyżowanie,
1900031,Rząśnia Urząd Gminy,
1900032,Rząśnia Rondo,
1900033,Rząśnia Urząd Gminy,
1900034,Suchowola Skrzyżowanie,
1900035,Gawłów Dolna,
1900036,Biała pos. 179,
1900037,Biała pos. 2C,
1900038,Biała pos. 9,
1900039,Biała PKP,
11000001,Łaznów OSP,LAZOSP2
11000002,Łaznów pos. 160,LAZ1602
11000003,Rokiciny Rondo,ROKROND2
11000004,Rokiciny Dworzec PKP,ROKPKP1
11000005,Rokiciny Brzezińska,
11000006,Łaznowska Wola,
11000007,Karpin OSP,
11000008,Karpin pos. 39,
11000009,Borowa pos. 3,
11000010,Borowa Długa/Nowa,
11000011,Borowa Długa/Zielonogórska,
11000012,Borowa Długa/Jarosława,
11000013,Borowa OSP,
11000014,Borowa Długa/Leśna,
11000015,Gałków Mały Dworzec PKP,
11000016,Gałków Mały Borowiecka/Sporna,
11000017,Borowa Długa/Leśna,
11000018,Borowa OSP,
11000019,Borowa Długa/Jarosława,
11000020,Borowa Długa/Zielonogórska,
11000021,Borowa Długa/Nowa,
11000022,Borowa pos. 3,
11000023,Karpin pos. 39,
11000024,Karpin OSP,
11000025,Łaznowska Wola,
11000026,Rokiciny Brzezińska,
11000027,Rokiciny Dworzec PKP,ROKPKP1
11000028,Rokiciny Rondo,ROKROND1
11000029,Łaznów pos. 160,LAZ1601
11000030,Łaznów OSP,LAZOSP1
11000031,Gałków Mały Łódzka/Długa,
11000032,Gałków Mały Łódzka/Zacisze,
11000033,Gałków Mały Brzezińska/Łódzka,
11000034,Gałków Duży Dworcowa/Dzieci Polskich,
11000035,Gałkówek Dworzec PKP,
11000036,Gałków Duży Dworcowa/Dzieci Polskich,
11000037,Gałków Mały Brzezińska/Łódzka,
11000038,Gałków Mały Łódzka/Zacisze,
11100001,Rydzynki Wczasowa/Komarowa,
11100002,Rydzynki Komarowa/Sadowa,
11100003,Rydzynki Tęczowa/Borowikowa,
11100004,Zofiówka Główna/Wesoła,
11100005,Zofiówka Główna/Stanisławowska,
11100006,Zofiówka Główna/Sporna,
11100007,Tuszyn Poddębina Szpital,
11100008,Tuszyn Poddębina/Brzozowa,
11100009,Tuszyn Sienkiewicza/Słowackiego,
11100010,Tuszyn 3-go Maja/Prusa,
11100011,Tuszyn MOPS,
11100012,Tuszyn Poniatowskiego Szkoła,
11100013,Tuszyn Domowicza/Karłowicza,
11100014,Tuszyn Rzgowska CPN,
11100015,Tuszyn Chmielna,
11100016,Tuszyn Żeromskiego Szkoła,
11100017,Żeromin Tuszyńska/Ogrodzonka,
11100018,Żeromin Bloki,
11100019,Żeromin Tuszyńska 77,
11100020,Rzepki,
11100021,Tychów,
11100022,Czarnocin Tuszyńska/Główna,
11100023,Czarnocin Poniatowskiego/Główna,
11100024,Wolbórka PKP,
11100025,Remiszewice,
11100026,Remiszewice,
11100027,Wolbórka PKP,
11100028,Czarnocin Poniatowskiego/Główna,
11100029,Czarnocin Tuszyńska/Główna,
11100030,Tychów,
11100031,Rzepki,
11100032,Żeromin Tuszyńska 77,
11100033,Żeromin Bloki,
11100034,Żeromin Tuszyńska/Ogrodzonka,
11100035,Tuszyn Żeromskiego Szkoła,
11100036,Tuszyn Chmielna,
11100037,Tuszyn Rzgowska CPN,
11100038,Tuszyn Domowicza/Karłowicza,
11100039,Tuszyn Poniatowskiego Szkoła,
11100040,Tuszyn MOPS,
11100041,Tuszyn 3-go Maja/Prusa,
11100042,Tuszyn Sienkiewicza/Słowackiego,
11100043,Tuszyn Poddębina/Brzozowa,
11100044,Tuszyn Poddębina Szpital,
11100045,Zofiówka Główna/Sporna,
11100046,Zofiówka Główna/Stanisławowska,
11100047,Zofiówka Główna/Wesoła,
11100048,Rydzynki Tęczowa/Borowikowa,
11100049,Rydzynki Komarowa/Sadowa,
12100001,Buków Świetlica,
12100002,Buków pos. 36,
12100003,Bronisławów,
12100004,Józefin Zajazd,
12100005,Ujazd Pl. Wolności,UJAPLW1
12100006,Ujazd Tomaszowska,
12100007,Sangrodz,
12100008,Tobiasze Plac Zabaw,
12100009,Tobiasze,
12100010,Ojrzanów,
12100011,Przesiadłów OSP,
12100012,Przesiadłów Dunapack,
12100013,Skrzynki PKP,
12100014,Przesiadłów Dunapack,
12100015,Przesiadłów,
12100016,Ojrzanów,
12100017,Tobiasze,
12100018,Sangrodz,
12100019,Ujazd Tomaszowska,
12100020,Ujazd Pl. Wolności,UJAPLW2
12100021,Józefin Zajazd,
12100022,Bronisławów,
12100023,Buków pos. 36,
13100001,Zaosie Świetlica,
13100002,Zaosie PKP,
13100003,Niewiadów Huta,
13100004,Niewiadów Akademia Sportu,
13100005,Ujazd Konopnickiej,
13100006,Ujazd Pl. Wolności,UJAPLW2
13100007,Teklów,
13100008,Wygoda,
13100009,Bielina,
13100010,Kolonia Dębniak,
13100011,Dębniak Świetlica,
13100012,Dębniak pos. 15,
13100013,Dębniak pos. 10,
13100014,Dębniak pos. 1,
13100015,Łazisko OSP,
13100016,Łazisko pos. 65,
13100017,Łazisko Scania,
13100018,Tomaszów Mazowiecki Zawadzka-Mostowa,
13100019,Tomaszów Mazowiecki Zawadzka Pętla,
13100020,Tomaszów Mazowiecki Zawadzka pos. 120,
13100021,Tomaszów Mazowiecki Orzeszkowej,
13100022,Tomaszów Mazowiecki Szeroka - Rondo gen. Andersa,
13100023,Tomaszów Mazowiecki Szeroka - Warszawska,
13100024,Tomaszów Mazowiecki Warszawska - Galeria,
13100025,Tomaszów Mazowiecki Plac Kościuszki - Arkady,
13100026,Tomaszów Mazowiecki Plac Kościuszki Centrum,
13100027,Tomaszów Mazowiecki Warszawska-Konstytucji 3 Maja,
13100028,Tomaszów Mazowiecki Warszawska-Grota Roweckiego,
13100029,Tomaszów Mazowiecki Warszawska-Cmentarna,
13100030,Tomaszów Mazowiecki Chopina-Warszawska,
13100031,Tomaszów Mazowiecki Chopina-Sierakowskiego,
13100032,Tomaszów Mazowiecki Chopina-Traugutta,
13100033,Tomaszów Mazowiecki Dworzec PKP,
13100034,Tomaszów Mazowiecki Chopina-Okrzei,
13100035,Tomaszów Mazowiecki Chopina-Skłodowskiej,
13100036,Tomaszów Mazowiecki Chopina-Warszawska,
13100037,Tomaszów Mazowiecki Warszawska-Dzieci Polskich,
13100038,Tomaszów Mazowiecki Warszawska-Szeroka,
13100039,Tomaszów Mazowiecki Warszawska Galeria,
13100040,Tomaszów Mazowiecki Plac Kościuszki Arkady,
13100041,Tomaszów Mazowiecki Plac Kościuszki Centrum,
13100042,Tomaszów Mazowiecki Warszawska-Konstytucji 3 Maja,
13100043,Tomaszów Mazowiecki Warszawska-Grota Roweckiego,
13100044,Tomaszów Mazowiecki Orzeszkowej,
13100045,Tomaszów Mazowiecki Zawadzka pos. 120,
13100046,Tomaszów Mazowiecki Zawadzka Pętla,
13100047,Tomaszów Mazowiecki Zawadzka-Mostowa,
13100048,Łazisko Scania,
13100049,Łazisko pos. 65,
13100050,Łazisko OSP,
13100051,Dębniak pos. 1,
13100052,Dębniak pos. 10,
13100053,Dębniak pos. 15,
13100054,Dębniak Świetlica,
13100055,Kolonia Dębniak,
13100056,Bielina,
13100057,Wygoda,
13100058,Teklów,
13100059,Ujazd Pl. Wolności,UJAPLW2
13100060,Ujazd Konopnickiej,
13100061,Niewiadów Akademia Sportu,
13100062,Niewiadów Huta,
13100063,Zaosie PKP,
13100064,Tomaszów Mazowiecki Szeroka - Dubois,
